Ldc,type,f_bus,t_bus,capacity,br_r
1,DC_grid,1,3,7.5,0.001336667052994125
2,DC_grid,1,4,100.0,5.276317314450493e-5
3,DC_grid,2,3,80.0,0.000136483051258267
4,DC_grid,3,4,100.0,8.178291837398264e-5
5,DC_grid,3,5,80.0,0.00014451146603816504
6,DC_grid,3,6,100.0,6.595396643063116e-5
7,DC_grid,4,5,100.0,9.233555300288363e-5
8,DC_grid,5,6,5.0,0.0020050005794911875
9,PtP_link,7,8,30.0,0.0014201179287070202
10,PtP_link,11,12,30.0,0.0008994080215144461
11,PtP_link,9,10,30.0,0.00047337264290234004
12,PtP_link,13,14,30.0,0.000804733492933978
