time_step,pac_1,pdc_1,pac_2,pdc_2,pac_3,pdc_3,pac_4,pdc_4,pac_5,pdc_5,pac_6,pdc_6,pac_8,pdc_8,pac_9,pdc_9,pac_10,pdc_10,pac_11,pdc_11,pac_12,pdc_12,pac_13,pdc_13,pac_14,pdc_14,pac_15,pdc_15,pac_16,pdc_16,pac_17,pdc_17,pac_18,pdc_18,pac_19,pdc_19,pac_20,pdc_20,pac_21,pdc_21,pac_22,pdc_22,pac_23,pdc_23,pac_24,pdc_24,pac_25,pdc_25,pac_26,pdc_26,pac_27,pdc_27,pac_28,pdc_28,pac_29,pdc_29,pac_30,pdc_30
1,53.06850933,-51.10536075,-38.75296866,39.81908539,35.80408886,-34.88875847,-5.581438527,5.620801737,-44.6506929,46.05321919,-9.010898914,9.088305735,-5.581438527,5.620801737,-5.581438527,5.620801737,-5.581438527,5.620801737,-5.581438527,5.620801737,53.06850933,-51.10536075,-44.6506929,46.05321919,-44.6506929,46.05321919,-44.6506929,46.05321919,-38.75296866,39.81908539,-9.010898914,9.088305735,35.80408886,-34.88875847,35.80408886,-34.88875847,35.80408886,-34.88875847,35.80408886,-34.88875847,35.80408886,-34.88875847,60.00000059,-57.504176,57.59825507,-55.2942659,60.00000059,-57.504176,-55.04070605,57.14888449,-55.07549988,57.18628359,-53.15217147,55.12136683,60.00000059,-57.504176,-54.84931305,56.94318941
2,33.72780543,-32.91167566,41.20006242,-40.00000039,-22.26908474,22.64130086,19.24409917,-18.95981646,-15.30088047,15.48888492,-20.61858464,20.94130751,19.24409917,-18.95981646,19.24409917,-18.95981646,19.24409917,-18.95981646,19.24409917,-18.95981646,33.72780543,-32.91167566,-15.30088047,15.48888492,-15.30088047,15.48888492,-15.30088047,15.48888492,41.20006242,-40.00000039,-20.61858464,20.94130751,-22.26908474,22.64130086,-22.26908474,22.64130086,-22.26908474,22.64130086,-22.26908474,22.64130086,-22.26908474,22.64130086,38.01715617,-36.9897514,60.00000059,-57.504176,38.70696544,-37.64329019,-36.53920602,37.49103882,57.30900935,-55.02760347,-55.19726647,57.31718047,-52.79318783,54.73650322,-35.8405075,36.75762927
3,-47.2424734,48.80752836,-38.75173876,39.81779018,-32.7564644,33.52816213,33.51433057,-32.7080738,30.41484472,-29.74507962,50.55334239,-48.76761586,33.51433057,-32.7080738,33.51433057,-32.7080738,33.51433057,-32.70807381,33.51433057,-32.7080738,-47.2424734,48.80752836,30.41484471,-29.74507961,30.41484474,-29.74507963,30.41484472,-29.74507962,-38.75173876,39.81779018,50.55334239,-48.76761586,-32.7564644,33.52816213,-32.7564644,33.52816213,-32.7564644,33.52816213,-32.7564644,33.52816213,-32.7564644,33.52816213,-54.84931305,56.9431894,60.00000059,-57.504176,60.0000006,-57.50417601,-55.04070605,57.1488845,-55.07549989,57.1862836,-55.19726647,57.31718047,60.0000006,-57.504176,60.00000059,-57.504176
4,50.96394085,-49.14982736,-38.75237184,39.81845687,12.54431087,-12.41127933,-10.87539308,10.98007393,3.44E-05,0.010995569,-18.50868771,18.77343927,-10.87539308,10.98007393,-10.87539308,10.98007393,-10.87539308,10.98007393,-10.87539308,10.98007393,50.96394085,-49.14982736,3.44E-05,0.010995569,3.52E-05,0.010994813,3.44E-05,0.010995569,-38.75237184,39.81845687,-18.50868771,18.77343927,12.54431087,-12.41127933,12.54431087,-12.41127933,12.54431087,-12.41127933,12.54431087,-12.41127933,12.54431087,-12.41127933,30.232728,-29.57058368,20.76030406,-20.43347426,60.00000051,-57.50417593,-55.04070598,57.14888442,-40.17949111,41.32271852,-20.10188667,20.40986312,42.77892029,-41.48819277,-28.8177941,29.42223848
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
